"YEAR","JURISDICTION","LOCATION","AGE_GROUP","DETECTION_METHOD","FINES","ARRESTS","CHARGES","OFFENSES_SUM"
2020,"VIC","All regions","All ages","Police issued",21231,0,0,21231
2020,"WA","All regions","All ages","Police issued",7889,0,0,7889
2021,"ACT","All regions","All ages","Police issued",544,0,0,544
2021,"NSW","All regions","All ages","Camera",163722,0,0,163722
2021,"NSW","All regions","All ages","Police issued",10360,0,0,10360
2021,"NT","All regions","All ages","Police issued",309,0,0,309
2021,"QLD","All regions","All ages","Camera",14574,0,0,14574
2021,"QLD","All regions","All ages","Police issued",3973,0,0,3973
2021,"SA","All regions","All ages","Police issued",4799,0,0,4799
2021,"TAS","All regions","All ages","Police issued",2328,0,0,2328
2021,"VIC","All regions","All ages","Police issued",15562,0,0,15562
2021,"WA","All regions","All ages","Police issued",4909,0,0,4909
2022,"ACT","All regions","All ages","Police issued",374,0,0,374
2022,"NSW","All regions","All ages","Camera",194793,0,0,194793
2022,"NSW","All regions","All ages","Police issued",12904,0,0,12904
2022,"NT","All regions","All ages","Police issued",302,0,0,302
2022,"QLD","All regions","All ages","Camera",118152,0,0,118152
2022,"QLD","All regions","All ages","Police issued",3487,0,0,3487
2022,"SA","All regions","All ages","Police issued",4583,0,0,4583
2022,"TAS","All regions","All ages","Police issued",1973,0,0,1973
2022,"VIC","All regions","All ages","Police issued",19428,0,0,19428
2022,"WA","All regions","All ages","Police issued",6346,0,0,6346
2023,"ACT","Major Cities of Australia","0-16","Police issued",10,0,0,10
2023,"ACT","Major Cities of Australia","17-25","Police issued",82,0,0,82
2023,"ACT","Major Cities of Australia","26-39","Police issued",110,0,0,110
2023,"ACT","Major Cities of Australia","40-64","Police issued",79,0,0,79
2023,"ACT","Major Cities of Australia","65 and over","Police issued",7,0,0,7
2023,"NSW","Inner Regional Australia","0-16","Police issued",11,0,0,11
2023,"NSW","Inner Regional Australia","17-25","Police issued",521,0,7,528
2023,"NSW","Inner Regional Australia","26-39","Police issued",680,0,7,687
2023,"NSW","Inner Regional Australia","40-64","Police issued",527,0,8,535
2023,"NSW","Inner Regional Australia","65 and over","Police issued",62,0,0,62
2023,"NSW","Major Cities of Australia","0-16","Police issued",7,0,1,8
2023,"NSW","Major Cities of Australia","17-25","Police issued",3496,0,45,3541
2023,"NSW","Major Cities of Australia","26-39","Police issued",4184,0,72,4256
2023,"NSW","Major Cities of Australia","40-64","Police issued",3035,0,38,3073
2023,"NSW","Major Cities of Australia","65 and over","Police issued",301,0,1,302
2023,"NSW","Outer Regional Australia","0-16","Police issued",0,0,1,1
2023,"NSW","Outer Regional Australia","17-25","Police issued",73,0,3,76
2023,"NSW","Outer Regional Australia","26-39","Police issued",114,0,1,115
2023,"NSW","Outer Regional Australia","40-64","Police issued",98,0,0,98
2023,"NSW","Outer Regional Australia","65 and over","Police issued",11,0,0,11
2023,"NSW","Remote Australia","17-25","Police issued",3,0,1,4
2023,"NSW","Remote Australia","26-39","Police issued",11,0,0,11
2023,"NSW","Remote Australia","40-64","Police issued",2,0,0,2
2023,"NSW","Remote Australia","65 and over","Police issued",2,0,0,2
2023,"NSW","Unknown","17-25","Police issued",46,0,0,46
2023,"NSW","Unknown","26-39","Police issued",65,0,1,66
2023,"NSW","Unknown","40-64","Police issued",28,0,1,29
2023,"NSW","Unknown","65 and over","Police issued",3,0,0,3
2023,"NSW","Unknown","Unknown","Camera",202757,0,0,202757
2023,"NSW","Very Remote Australia","17-25","Police issued",2,0,0,2
2023,"NSW","Very Remote Australia","26-39","Police issued",1,0,0,1
2023,"NSW","Very Remote Australia","40-64","Police issued",2,0,0,2
2023,"NT","Unknown","17-25","Police issued",41,2,6,49
2023,"NT","Unknown","26-39","Police issued",90,1,2,93
2023,"NT","Unknown","40-64","Police issued",64,0,0,64
2023,"NT","Unknown","65 and over","Police issued",10,2,6,18
2023,"QLD","Unknown","Unknown","Camera",77213,0,0,77213
2023,"QLD","Unknown","Unknown","Police issued",3079,0,0,3079
2023,"SA","Unknown","0-16","Police issued",3,0,0,3
2023,"SA","Unknown","17-25","Police issued",1387,0,0,1387
2023,"SA","Unknown","26-39","Police issued",2272,0,0,2272
2023,"SA","Unknown","40-64","Police issued",1805,0,0,1805
2023,"SA","Unknown","65 and over","Police issued",302,0,0,302
2023,"SA","Unknown","Unknown","Police issued",0,0,0,0
2023,"TAS","Unknown","0-16","Police issued",0,0,0,0
2023,"TAS","Unknown","17-25","Camera",80,0,0,80
2023,"TAS","Unknown","17-25","Police issued",360,0,13,373
2023,"TAS","Unknown","26-39","Camera",361,0,0,361
2023,"TAS","Unknown","26-39","Police issued",656,0,21,677
2023,"TAS","Unknown","40-64","Camera",374,0,0,374
2023,"TAS","Unknown","40-64","Police issued",463,0,3,466
2023,"TAS","Unknown","65 and over","Camera",55,0,0,55
2023,"TAS","Unknown","65 and over","Police issued",79,0,0,79
2023,"VIC","Inner Regional Australia","0-16","Police issued",2,0,0,2
2023,"VIC","Inner Regional Australia","17-25","Camera",181,0,0,181
2023,"VIC","Inner Regional Australia","17-25","Police issued",411,0,0,411
2023,"VIC","Inner Regional Australia","26-39","Camera",830,0,0,830
2023,"VIC","Inner Regional Australia","26-39","Police issued",819,0,0,819
2023,"VIC","Inner Regional Australia","40-64","Camera",989,0,0,989
2023,"VIC","Inner Regional Australia","40-64","Police issued",618,0,0,618
2023,"VIC","Inner Regional Australia","65 and over","Camera",170,0,0,170
2023,"VIC","Inner Regional Australia","65 and over","Police issued",79,0,0,79
2023,"VIC","Inner Regional Australia","Unknown","Camera",1498,0,0,1498
2023,"VIC","Inner Regional Australia","Unknown","Police issued",1,0,0,1
2023,"VIC","Major Cities of Australia","0-16","Police issued",4,0,0,4
2023,"VIC","Major Cities of Australia","17-25","Camera",701,0,0,701
2023,"VIC","Major Cities of Australia","17-25","Police issued",3031,0,0,3031
2023,"VIC","Major Cities of Australia","26-39","Camera",3934,0,0,3934
2023,"VIC","Major Cities of Australia","26-39","Police issued",7255,0,0,7255
2023,"VIC","Major Cities of Australia","40-64","Camera",4824,0,0,4824
2023,"VIC","Major Cities of Australia","40-64","Police issued",5449,0,0,5449
2023,"VIC","Major Cities of Australia","65 and over","Camera",698,0,0,698
2023,"VIC","Major Cities of Australia","65 and over","Police issued",585,0,0,585
2023,"VIC","Major Cities of Australia","Unknown","Camera",15807,0,0,15807
2023,"VIC","Major Cities of Australia","Unknown","Police issued",7,0,0,7
2023,"VIC","Outer Regional Australia","17-25","Police issued",90,0,0,90
2023,"VIC","Outer Regional Australia","26-39","Police issued",193,0,0,193
2023,"VIC","Outer Regional Australia","40-64","Camera",3,0,0,3
2023,"VIC","Outer Regional Australia","40-64","Police issued",154,0,0,154
2023,"VIC","Outer Regional Australia","65 and over","Police issued",31,0,0,31
2023,"VIC","Outer Regional Australia","Unknown","Camera",8,0,0,8
2023,"VIC","Unknown","17-25","Camera",11,0,0,11
2023,"VIC","Unknown","17-25","Police issued",15,0,0,15
2023,"VIC","Unknown","26-39","Camera",79,0,0,79
2023,"VIC","Unknown","26-39","Police issued",52,0,0,52
2023,"VIC","Unknown","40-64","Camera",98,0,0,98
2023,"VIC","Unknown","40-64","Police issued",27,0,0,27
2023,"VIC","Unknown","65 and over","Camera",9,0,0,9
2023,"VIC","Unknown","Unknown","Camera",883,0,0,883
2023,"WA","Unknown","0-16","Unknown",0,0,1,1
2023,"WA","Unknown","17-25","Police issued",706,0,0,706
2023,"WA","Unknown","17-25","Unknown",0,1,34,35
2023,"WA","Unknown","26-39","Police issued",1512,0,0,1512
2023,"WA","Unknown","26-39","Unknown",0,3,66,69
2023,"WA","Unknown","40-64","Police issued",1227,0,0,1227
2023,"WA","Unknown","40-64","Unknown",0,3,50,53
2023,"WA","Unknown","65 and over","Police issued",147,0,0,147
2023,"WA","Unknown","65 and over","Unknown",0,0,6,6
2024,"ACT","Major Cities of Australia","0-16","Camera",4,0,0,4
2024,"ACT","Major Cities of Australia","0-16","Police issued",3,0,0,3
2024,"ACT","Major Cities of Australia","17-25","Camera",3601,0,0,3601
2024,"ACT","Major Cities of Australia","17-25","Police issued",54,0,3,57
2024,"ACT","Major Cities of Australia","26-39","Camera",10788,0,0,10788
2024,"ACT","Major Cities of Australia","26-39","Police issued",75,1,6,82
2024,"ACT","Major Cities of Australia","40-64","Camera",10535,0,0,10535
2024,"ACT","Major Cities of Australia","40-64","Police issued",52,1,4,57
2024,"ACT","Major Cities of Australia","65 and over","Camera",1236,0,0,1236
2024,"ACT","Major Cities of Australia","65 and over","Police issued",3,0,0,3
2024,"ACT","Major Cities of Australia","Unknown","Camera",772,0,0,772
2024,"ACT","Major Cities of Australia","Unknown","Police issued",2,0,0,2
2024,"NSW","Inner Regional Australia","0-16","Police issued",3,0,2,5
2024,"NSW","Inner Regional Australia","17-25","Police issued",579,0,5,584
2024,"NSW","Inner Regional Australia","26-39","Police issued",681,0,8,689
2024,"NSW","Inner Regional Australia","40-64","Police issued",457,0,6,463
2024,"NSW","Inner Regional Australia","65 and over","Police issued",67,0,0,67
2024,"NSW","Major Cities of Australia","0-16","Police issued",18,0,5,23
2024,"NSW","Major Cities of Australia","17-25","Police issued",4539,0,79,4618
2024,"NSW","Major Cities of Australia","26-39","Police issued",4401,0,53,4454
2024,"NSW","Major Cities of Australia","40-64","Police issued",3024,0,30,3054
2024,"NSW","Major Cities of Australia","65 and over","Police issued",332,0,5,337
2024,"NSW","Outer Regional Australia","0-16","Police issued",1,0,0,1
2024,"NSW","Outer Regional Australia","17-25","Police issued",88,0,4,92
2024,"NSW","Outer Regional Australia","26-39","Police issued",104,0,0,104
2024,"NSW","Outer Regional Australia","40-64","Police issued",94,0,2,96
2024,"NSW","Outer Regional Australia","65 and over","Police issued",15,0,0,15
2024,"NSW","Remote Australia","17-25","Police issued",6,0,1,7
2024,"NSW","Remote Australia","26-39","Police issued",4,0,2,6
2024,"NSW","Remote Australia","40-64","Police issued",5,0,0,5
2024,"NSW","Remote Australia","65 and over","Police issued",1,0,0,1
2024,"NSW","Unknown","17-25","Police issued",115,0,2,117
2024,"NSW","Unknown","26-39","Police issued",111,0,3,114
2024,"NSW","Unknown","40-64","Police issued",71,0,0,71
2024,"NSW","Unknown","65 and over","Police issued",6,0,0,6
2024,"NSW","Unknown","Unknown","Camera",147272,0,0,147272
2024,"NSW","Very Remote Australia","26-39","Police issued",2,0,1,3
2024,"NSW","Very Remote Australia","40-64","Police issued",1,0,0,1
2024,"NT","Unknown","0-16","Police issued",1,0,0,1
2024,"NT","Unknown","17-25","Police issued",45,0,2,47
2024,"NT","Unknown","26-39","Police issued",112,0,2,114
2024,"NT","Unknown","40-64","Police issued",78,1,7,86
2024,"NT","Unknown","65 and over","Police issued",8,0,0,8
2024,"QLD","Unknown","0-16","Camera",2101,0,0,2101
2024,"QLD","Unknown","0-16","Police issued",3,0,0,3
2024,"QLD","Unknown","17-25","Camera",9694,0,0,9694
2024,"QLD","Unknown","17-25","Police issued",757,0,0,757
2024,"QLD","Unknown","26-39","Camera",27876,0,0,27876
2024,"QLD","Unknown","26-39","Police issued",1322,0,0,1322
2024,"QLD","Unknown","40-64","Camera",28641,0,0,28641
2024,"QLD","Unknown","40-64","Police issued",849,0,0,849
2024,"QLD","Unknown","65 and over","Camera",3701,0,0,3701
2024,"QLD","Unknown","65 and over","Police issued",88,0,0,88
2024,"QLD","Unknown","Unknown","Camera",301,0,0,301
2024,"QLD","Unknown","Unknown","Police issued",1,0,0,1
2024,"SA","Inner Regional Australia","0-16","Police issued",1,0,0,1
2024,"SA","Inner Regional Australia","17-25","Police issued",34,0,0,34
2024,"SA","Inner Regional Australia","26-39","Police issued",74,0,0,74
2024,"SA","Inner Regional Australia","40-64","Police issued",67,0,0,67
2024,"SA","Inner Regional Australia","65 and over","Police issued",12,0,0,12
2024,"SA","Major Cities of Australia","0-16","Police issued",1,0,0,1
2024,"SA","Major Cities of Australia","17-25","Police issued",1024,0,0,1024
2024,"SA","Major Cities of Australia","26-39","Police issued",1575,0,0,1575
2024,"SA","Major Cities of Australia","40-64","Police issued",1280,0,0,1280
2024,"SA","Major Cities of Australia","65 and over","Police issued",171,0,0,171
2024,"SA","Major Cities of Australia","Unknown","Police issued",4,0,0,4
2024,"SA","Outer Regional Australia","17-25","Police issued",49,0,0,49
2024,"SA","Outer Regional Australia","26-39","Police issued",79,0,0,79
2024,"SA","Outer Regional Australia","40-64","Police issued",86,0,0,86
2024,"SA","Outer Regional Australia","65 and over","Police issued",8,0,0,8
2024,"SA","Remote Australia","17-25","Police issued",7,0,0,7
2024,"SA","Remote Australia","26-39","Police issued",16,0,0,16
2024,"SA","Remote Australia","40-64","Police issued",16,0,0,16
2024,"SA","Remote Australia","65 and over","Police issued",3,0,0,3
2024,"SA","Unknown","17-25","Police issued",19,0,0,19
2024,"SA","Unknown","26-39","Police issued",26,0,0,26
2024,"SA","Unknown","40-64","Police issued",25,0,0,25
2024,"SA","Unknown","65 and over","Police issued",3,0,0,3
2024,"SA","Very Remote Australia","17-25","Police issued",6,0,0,6
2024,"SA","Very Remote Australia","26-39","Police issued",8,0,0,8
2024,"SA","Very Remote Australia","40-64","Police issued",9,0,0,9
2024,"SA","Very Remote Australia","65 and over","Police issued",2,0,0,2
2024,"TAS","Unknown","17-25","Camera",113,0,0,113
2024,"TAS","Unknown","17-25","Police issued",380,0,10,390
2024,"TAS","Unknown","26-39","Camera",502,0,0,502
2024,"TAS","Unknown","26-39","Police issued",618,0,16,634
2024,"TAS","Unknown","40-64","Camera",583,0,0,583
2024,"TAS","Unknown","40-64","Police issued",442,0,6,448
2024,"TAS","Unknown","65 and over","Camera",86,0,0,86
2024,"TAS","Unknown","65 and over","Police issued",91,0,0,91
2024,"VIC","Inner Regional Australia","0-16","Camera",0,0,0,0
2024,"VIC","Inner Regional Australia","17-25","Camera",316,0,0,316
2024,"VIC","Inner Regional Australia","26-39","Camera",1266,0,0,1266
2024,"VIC","Inner Regional Australia","40-64","Camera",1869,0,0,1869
2024,"VIC","Inner Regional Australia","65 and over","Camera",328,0,0,328
2024,"VIC","Inner Regional Australia","Unknown","Camera",1372,0,0,1372
2024,"VIC","Major Cities of Australia","0-16","Camera",0,0,0,0
2024,"VIC","Major Cities of Australia","17-25","Camera",2028,0,0,2028
2024,"VIC","Major Cities of Australia","26-39","Camera",10193,0,0,10193
2024,"VIC","Major Cities of Australia","40-64","Camera",12729,0,0,12729
2024,"VIC","Major Cities of Australia","65 and over","Camera",2093,0,0,2093
2024,"VIC","Major Cities of Australia","Unknown","Camera",9682,0,0,9682
2024,"VIC","Outer Regional Australia","0-16","Camera",0,0,0,0
2024,"VIC","Outer Regional Australia","17-25","Camera",18,0,0,18
2024,"VIC","Outer Regional Australia","26-39","Camera",83,0,0,83
2024,"VIC","Outer Regional Australia","40-64","Camera",83,0,0,83
2024,"VIC","Outer Regional Australia","65 and over","Camera",13,0,0,13
2024,"VIC","Outer Regional Australia","Unknown","Camera",116,0,0,116
2024,"VIC","Remote Australia","0-16","Camera",0,0,0,0
2024,"VIC","Remote Australia","17-25","Camera",0,0,0,0
2024,"VIC","Remote Australia","26-39","Camera",0,0,0,0
2024,"VIC","Remote Australia","40-64","Camera",0,0,0,0
2024,"VIC","Remote Australia","65 and over","Camera",0,0,0,0
2024,"VIC","Remote Australia","Unknown","Camera",0,0,0,0
2024,"VIC","Unknown","0-16","Camera",0,0,0,0
2024,"VIC","Unknown","0-16","Police issued",7,0,0,7
2024,"VIC","Unknown","17-25","Camera",0,0,0,0
2024,"VIC","Unknown","17-25","Police issued",2330,0,0,2330
2024,"VIC","Unknown","26-39","Camera",0,0,0,0
2024,"VIC","Unknown","26-39","Police issued",5558,0,0,5558
2024,"VIC","Unknown","40-64","Camera",0,0,0,0
2024,"VIC","Unknown","40-64","Police issued",4448,0,0,4448
2024,"VIC","Unknown","65 and over","Camera",0,0,0,0
2024,"VIC","Unknown","65 and over","Police issued",534,0,0,534
2024,"VIC","Unknown","Unknown","Camera",0,0,0,0
2024,"VIC","Unknown","Unknown","Police issued",9,0,0,9
2024,"WA","Unknown","0-16","Police issued",1,0,0,1
2024,"WA","Unknown","0-16","Unknown",0,0,2,2
2024,"WA","Unknown","17-25","Police issued",804,0,0,804
2024,"WA","Unknown","17-25","Unknown",0,1,47,48
2024,"WA","Unknown","26-39","Police issued",1655,0,0,1655
2024,"WA","Unknown","26-39","Unknown",0,3,89,92
2024,"WA","Unknown","40-64","Police issued",1138,0,0,1138
2024,"WA","Unknown","40-64","Unknown",0,0,63,63
2024,"WA","Unknown","65 and over","Police issued",133,0,0,133
2024,"WA","Unknown","65 and over","Unknown",0,0,2,2
